Property_type,Property_city,Property_location,Bedrooms,Bathrooms,Parking_space,Floor_size,Property_price_(per_month)
2 Bedroom Apartment,Pritoria,Montana,3,2,1,,R 10 000
3 Bedroom Apartment,Pritoria,Mooikloof,2,2,,,R 11 500
2 Bedroom Townhouse,Pritoria,Gezina,2,1,,,R 7 800
2 Bedroom Apartment,Pritoria,Montana,1,2,,,R 10 480
1 Bedroom Apartment,Pritoria,Menlo Park,2,1,,,R 9 200
2 Bedroom Apartment,Pritoria,La Montagne,,1,,,R 8 300
3 Bedroom Townhouse,Pritoria,Constantia Park,3,3,1,65 m²,R 30 000
2 Bedroom Apartment,Pritoria,Erasmuskloof,2,2,1,74 m²,R 8 000
2 Bedroom Apartment,Pritoria,Annlin,2,2,2,75 m²,R 11 206
3 Bedroom Apartment,Pritoria,Sinoville,3,2,1,42 m²,R 7 250
3 Bedroom Townhouse,Pritoria,Wonderboom,3,2,2,138 m²,R 10 400
2 Bedroom Townhouse,Pritoria,Willow Park Manor,2,2,3,125 m²,R 9 000
2 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,2,1,2,117 m²,R 14 000
2 Bedroom Apartment,Pritoria,Philip Nel Park,2,1,1,156 m²,R 7 600
1 Bedroom Apartment,Pritoria,Menlyn,1,3,1,55 m²,R 30 000
3 Bedroom House,Pritoria,Silver Lakes Golf Estate,3,2,2,75 m²,R 38 000
4 Bedroom House,Pritoria,Rose Acres Estate,4,1.5,1,53 m²,R 23 000
2 Bedroom Townhouse,Pritoria,Country View Estate,2,2,2,144 m²,R 10 400
3 Bedroom Townhouse,Pritoria,Moreleta Park,3,2,4,99 m²,R 13 500
3 Bedroom Townhouse,Pritoria,Mooikloof,3,2,2,,R 16 500
3 Bedroom Townhouse,Pritoria,Willow Park Manor,3,1,2,,R 13 950
1 Bedroom Apartment,Pritoria,Brooklyn,1,1,1,,R 9 990
2 Bedroom Apartment,Pritoria,Philip Nel Park,2,1,1,,R 7 600
3 Bedroom Apartment,Pritoria,Hatfield,3,2.5,2,,R 4 499
3 Bedroom Apartment,Pritoria,Lynnwood,3,1,2,,R 21 900
2 Bedroom Apartment,Pritoria,Montana,2,2,2,,R 8 900
2 Bedroom Townhouse,Pritoria,Olympus AH,2,,2,,R 16 000
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,2,99 m²,R 16 000
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,2,99 m²,R 16 000
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,2,99 m²,R 16 000
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,2,107 m²,R 14 000
4 Bedroom House,Pritoria,Garsfontein,4,5,6,68 m²,R 25 000
1 Bedroom Apartment,Pritoria,Menlo Park,1,1,1,78 m²,R 12 000
2 Bedroom Townhouse,Pritoria,Equestria,2,2,5,52 m²,R 17 000
2 Bedroom Apartment,Pritoria,Waterkloof Marina Retirement Estate,2,1,1,43 m²,R 14 500
1 Bedroom Apartment,Pritoria,Equestria,1,1,1,25 m²,R 10 200
1 Bedroom Apartment,Pritoria,Equestria,1,1,1,59 m²,R 8 900
1 Bedroom Apartment,Pritoria,Waterkloof,1,1,1,68 m²,R 6 000
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,1,36 m²,R 9 500
2 Bedroom Apartment,Pritoria,Wonderboom South,2,1.5,8,29 m²,R 6 500
4 Bedroom House,Pritoria,Wonderboom,4,3,1,70 m²,R 25 000
1 Bedroom Apartment,Pritoria,Wapadrand,1,1,1,68 m²,R 6 500
0.5 Bedroom Apartment,Pritoria,Philip Nel Park,0.5,1,1,76 m²,R 5 100
1 Bedroom Apartment,Pritoria,Villieria,1,1,1,30 m²,R 7 000
2 Bedroom Apartment,Pritoria,Wonderboom South,2,1.5,6,,R 6 500
4 Bedroom House,Pritoria,Wonderboom South,4,2,1,,R 22 000
2 Bedroom Apartment,Pritoria,Sinoville,2,2,1,,R 7 600
1 Bedroom Apartment,Pritoria,Brooklyn,1,1,,,R 6 000
2 Bedroom Townhouse,Pritoria,Silver Lakes,2,1,2,112 m²,R 9 250
2 Bedroom Townhouse,Pritoria,Silver Lakes,2,1.5,2,145 m²,R 10 000
3 Bedroom Apartment,Pritoria,Menlyn,3,2,1,111 m²,R 14 500
2 Bedroom Apartment,Pritoria,Six Fountains,2,2,2,87 m²,R 13 500
3 Bedroom Townhouse,Pritoria,Rietfontein,3,1,2,156 m²,R 10 500
3 Bedroom Townhouse,Pritoria,Murrayfield,3,2,1,70 m²,R 11 880
4 Bedroom House,Pritoria,Waterkloof Ridge,4,4,3,56 m²,R 40 000
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,2,121 m²,R 16 500
2 Bedroom Apartment,Pritoria,Olympus AH,2,1,1,73 m²,R 7 800
2 Bedroom Apartment,Pritoria,Olympus AH,2,2,2,168 m²,R 10 500
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.5,4,79 m²,R 17 500
2 Bedroom Townhouse,Pritoria,Moreleta Park,2,1,1,55 m²,R 7 500
3 Bedroom Townhouse,Pritoria,Equestria,3,2,4,65 m²,R 14 950
2 Bedroom Apartment,Pritoria,Tijger Vallei,2,2,1,82 m²,R 11 000
4 Bedroom House,Pritoria,Lynnwood Glen,4,1,3,87 m²,R 24 000
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2,2,,R 9 900
Apartment,Pritoria,Hatfield,2,1,1,,R 6 990
2 Bedroom Apartment,Pritoria,Montana,2,1,1,,R 7 500
2 Bedroom Apartment,Pritoria,Nieuw Muckleneuk,2,2,2,,R 9 650
2 Bedroom Apartment,Pritoria,Six Fountains,2,2,2,,R 13 500
2 Bedroom Townhouse,Pritoria,Montana,,1,1,,R 7 100
4 Bedroom House,Pritoria,Garsfontein,4,4,2,78 m²,R 19 500
2 Bedroom Apartment,Pritoria,Waterkloof Glen,2,2,2,40 m²,R 8 500
4 Bedroom House,Pritoria,Dorandia,4,2,4,42 m²,R 15 000
3 Bedroom House,Pritoria,Wonderboom,3,3,2,50 m²,R 17 500
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.5,2,227 m²,R 22 000
1 Bedroom Apartment,Pritoria,Willow Park Manor,1,1,1,84 m²,R 15 000
1 Bedroom Apartment,Pritoria,Menlyn,1,1,1,72 m²,R 30 000
2 Bedroom House,Pritoria,Waterkloof Ridge,2,2,2,42 m²,R 48 000
1 Bedroom Apartment,Pritoria,Waterkloof Marina Retirement Estate,1,1,1,41 m²,R 9 600
3 Bedroom Townhouse,Pritoria,The Wilds,3,2,4,74 m²,R 18 500
3 Bedroom Townhouse,Pritoria,Meyerspark,3,2,4,45 m²,R 12 200
2 Bedroom Apartment,Pritoria,Moreleta Park,2,1,3,65 m²,R 11 000
2 Bedroom Apartment,Pritoria,Eloffsdal,2,1,1,30 m²,R 5 200
1 Bedroom Apartment,Pritoria,Menlyn,1,1,1,,R 30 000
3 Bedroom Townhouse,Pritoria,Ashlea Gardens,3,2.5,1,,R 23 000
1 Bedroom Apartment,Pritoria,Greencreek Lifestyle Estate,1,1,1,,R 8 000
2 Bedroom Apartment,Pritoria,Mooikloof,2,2,2,,R 11 500
58 Bedroom Apartment,Pritoria,Waterkloof,58,58,58,,R 8 990
2 Bedroom Apartment,Pritoria,Annlin,2,1,1,,R 6 700
2 Bedroom Apartment,Pritoria,Mooikloof,2,2,2,,R 10 000
1 Bedroom Apartment,Pritoria,Eloffsdal,1,1,,,R 3 840
3 Bedroom House,Pritoria,Waterkloof Ridge,3,3.5,3,144 m²,R 38 000
3 Bedroom Townhouse,Pritoria,Equestria,3,2.5,2,74 m²,R 16 500
2 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,2,2,2,60 m²,R 11 235
2 Bedroom Apartment,Pritoria,Castle Gate,2,1,1,227 m²,R 11 500
2 Bedroom Townhouse,Pritoria,Moreleta Park,2,1,3,98 m²,R 11 500
3 Bedroom House,Pritoria,Waterkloof Ridge,3,3.5,3,85 m²,R 38 000
3 Bedroom Townhouse,Pritoria,The Wilds,3,2,4,75 m²,R 18 500
2 Bedroom Apartment,Pritoria,Hazeldean,2,2,1,230 m²,R 9 800
2 Bedroom Apartment,Pritoria,Olympus AH,2,2,2,41 m²,R 12 320
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,75 m²,R 9 500
3 Bedroom House,Pritoria,Olympus AH,3,3,2,112 m²,R 24 600
3 Bedroom Townhouse,Pritoria,Waterkloof,3,2,2,50 m²,R 26 000
1 Bedroom Apartment,Pritoria,Mooikloof,1,1,2,,R 8 000
2 Bedroom Apartment,Pritoria,Mooikloof,2,2,2,,R 11 500
2 Bedroom Townhouse,Pritoria,La Montagne,2,1.5,2,,R 9 800
3 Bedroom House,Pritoria,Andeon,3,2,1,,R 14 000
1 Bedroom Apartment,Pritoria,Die Wilgers,1,1,2,,R 7 200
2 Bedroom Apartment,Pritoria,Menlyn,2,2,2,,R 45 000
3 Bedroom Townhouse,Pritoria,Equestria,3,2,2,,R 13 860
5 Bedroom House,Pritoria,Silver Lakes Golf Estate,5,3.5,,,R 30 000
2 Bedroom Townhouse,Pritoria,Pretoria West,2,1,,,R 8 500
4 Bedroom House,Pritoria,Moreleta Park,4,3.5,4,227 m²,R 24 500
3 Bedroom House,Pritoria,The Wilds,3,2,4,50 m²,R 18 500
1 Bedroom Apartment,Pritoria,Waterkloof Marina Retirement Estate,1,1,1,70 m²,R 9 600
1 Bedroom Apartment,Pritoria,Moreleta Park,1,1,1,45 m²,R 8 500
1 Bedroom Apartment,Pritoria,Garsfontein,1,1,1,70 m²,R 7 000
2 Bedroom Apartment,Pritoria,Montana,2,1,1,58 m²,R 9 600
2 Bedroom Townhouse,Pritoria,Montana,2,1,2,98 m²,R 6 850
3 Bedroom Apartment,Pritoria,Willow Park Manor,3,2,3,126 m²,R 10 500
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,4,3,1,64 m²,R 39 000
2 Bedroom Apartment,Pritoria,Olympus AH,2,2,2,31 m²,R 13 900
1 Bedroom Townhouse,Pritoria,Mooiplaats AH,1,1,2,63 m²,R 7 500
3 Bedroom House,Pritoria,Rietfontein,3,2,1,70 m²,R 12 500
2 Bedroom Apartment,Pritoria,Pretoria North,2,1,2,105 m²,R 7 150
2 Bedroom Townhouse,Pritoria,Menlo Park,2,2.5,1,,R 16 000
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,,R 7 950
2 Bedroom Apartment,Pritoria,Waverley,2,2,4,,R 10 250
1 Bedroom Apartment,Pritoria,Moreleta Park,1,1,4,,R 8 500
3 Bedroom House,Pritoria,Montana,3,2,1,,R 15 500
3 Bedroom House,Pritoria,Six Fountains Residential Estate,3,2.5,4,,R 40 000
3 Bedroom Apartment,Pritoria,Hazeldean,3,2,,,R 9 500
3 Bedroom House,Pritoria,Six Fountains Residential Estate,3,2.5,,,R 38 000
3 Bedroom Townhouse,Pritoria,Lynnwood Glen,3,2,2,115 m²,R 18 500
2 Bedroom Apartment,Pritoria,Nieuw Muckleneuk,2,2,2,87 m²,R 21 500
2 Bedroom Apartment,Pritoria,Olympus AH,2,1,1,56 m²,R 8 000
3 Bedroom Townhouse,Pritoria,Equestria,3,2,2,70 m²,R 17 000
3 Bedroom House,Pritoria,Tileba,3,1,2,56 m²,R 14 500
2 Bedroom Apartment,Pritoria,Rietvalleirand,2,2,2,41 m²,R 9 000
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,4,3.5,3,105 m²,R 65 000
2 Bedroom Townhouse,Pritoria,Erasmuskloof,2,1,2,40 m²,R 9 500
3 Bedroom House,Pritoria,Tileba,3,1,2,55 m²,R 14 500
2 Bedroom Apartment,Pritoria,Queenswood,2,2,1,110 m²,R 10 500
5 Bedroom Apartment,Pritoria,Sunnyside,5,1,2,56 m²,R 1 499
2 Bedroom Apartment,Pritoria,La Montagne,2,1,2,,R 8 500
1 Bedroom Apartment,Pritoria,Silver Lakes Golf Estate,1,1,1,,R 16 000
1 Bedroom Apartment,Pritoria,Greencreek Lifestyle Estate,1,1,1,,R 7 900
3 Bedroom Apartment,Pritoria,Hazeldean,3,2,2,,R 9 500
1 Bedroom Apartment,Pritoria,Montana Tuine,1,1,1,,R 9 632
3 Bedroom Townhouse,Pritoria,Equestria,3,2,2,,R 14 450
1 Bedroom Apartment,Pritoria,Moreleta Park,1,1,1,,R 7 200
2 Bedroom House,Pritoria,Andeon,2,1,2,,R 8 000
3 Bedroom Townhouse,Pritoria,Montana,3,2,4,,R 11 000
1 Bedroom Apartment,Pritoria,Waterkloof,1,1,1,,R 8 500
2 Bedroom Apartment,Pritoria,Silver Lakes,2,2,1,145 m²,R 10 000
2 Bedroom Apartment,Pritoria,Hazeldean,2,2,1,123 m²,R 9 500
2 Bedroom Apartment,Pritoria,Menlo Park,2,2,3,116 m²,R 19 500
0.5 Bedroom Apartment,Pritoria,Sunnyside,0.5,1,1,50 m²,R 3 200
2 Bedroom Apartment,Pritoria,Hazeldean,2,2,1,123 m²,R 9 500
0.5 Bedroom Apartment,Pritoria,Montana,0.5,1,1,30 m²,R 5 000
3 Bedroom House,Pritoria,Mooikloof Gardens Estate,3,2.5,2,105 m²,R 26 000
3 Bedroom Apartment,Pritoria,Shere,3,2,1,85 m²,R 9 500
4 Bedroom House,Pritoria,Willow Acres,4,4.5,2,140 m²,R 25 000
6 Bedroom House,Pritoria,Silver Lakes Golf Estate,6,3.5,2,83 m²,R 75 000
2 Bedroom Townhouse,Pritoria,Faerie Glen,2,1,1,40 m²,R 11 000
3 Bedroom House,Pritoria,Olympus AH,3,2.5,3,103 m²,R 19 000
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,2,99 m²,R 13 500
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,42 m²,R 9 500
6 Bedroom House,Pritoria,Savannah Country Estate,6,5,4,31 m²,R 39 000
2 Bedroom Apartment,Pritoria,Rietvalleirand,2,2,2,101 m²,R 14 000
2 Bedroom Apartment,Pritoria,Olympus AH,2,2,2,72 m²,R 16 000
1 Bedroom Apartment,Pritoria,Menlyn,1,1,1,,R 30 000
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,,R 9 500
2 Bedroom Townhouse,Pritoria,Equestria,2,1,2,,R 16 000
2 Bedroom Apartment,Pritoria,Waterkloof Ridge,2,2,2,,R 10 200
3 Bedroom Townhouse,Pritoria,Moreleta Park,3,2,2,84 m²,R 10 000
0.5 Bedroom Apartment,Pritoria,Brooklyn,0.5,1,1,30 m²,R 4 500
3 Bedroom House,Pritoria,Waterkloof Glen,3,3.5,2,112 m²,R 22 000
Apartment,Pritoria,Lynnwood,3,1,1,116 m²,R 11 000
3 Bedroom Townhouse,Pritoria,Lynnwood Ridge,2,1.5,2,105 m²,R 16 000
2 Bedroom Apartment,Pritoria,Moreleta Park,1,1,1,101 m²,R 7 800
1 Bedroom Apartment,Pritoria,Hatfield,6,1,1,129 m²,R 6 900
6 Bedroom House,Pritoria,Hatfield,3,3,2,143 m²,R 4 500
3 Bedroom House,Pritoria,Annlin,3,1.5,3,100 m²,R 11 000
3 Bedroom Townhouse,Pritoria,Equestria,2,2,2,80 m²,R 16 000
2 Bedroom Townhouse,Pritoria,Brooklyn,2,2,1,105 m²,R 19 500
2 Bedroom Apartment,Pritoria,Hazeldean,0.5,2,1,,R 9 800
0.5 Bedroom Apartment,Pritoria,Brooklyn,2,1,1,,R 4 500
2 Bedroom Apartment,Pritoria,Hazeldean,2,2,2,,R 9 800
2 Bedroom Townhouse,Pritoria,Equestria,3,2,2,,R 13 000
3 Bedroom House,Pritoria,Sterrewag,3,3.5,2,,R 23 000
3 Bedroom Townhouse,Pritoria,Boardwalk Villas,3,2.5,2,,R 22 000
3 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,2,2,2,,R 18 500
2 Bedroom Apartment,Pritoria,Lynnwood Manor,3,1,2,,R 8 950
3 Bedroom House,Pritoria,Moreleta Park,3,2,1,,R 19 500
3 Bedroom Apartment,Pritoria,Hazeldean,,2,,,R 9 500
Apartment,Pritoria,Pretoria Central,2,1,2,85 m²,R 3 800
2 Bedroom Apartment,Pritoria,Olympus AH,2,1,2,1 m²,R 10 175
2 Bedroom Apartment,Pritoria,Montana,2,1,2,85 m²,R 9 250
2 Bedroom Apartment,Pritoria,Olympus AH,2,1,3,90 m²,R 8 800
2 Bedroom Apartment,Pritoria,Meyerspark,4,1,2,78 m²,R 6 300
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,2,3.5,1,97 m²,R 48 000
2 Bedroom Apartment,Pritoria,Waterkloof Park,2,2,2,144 m²,R 17 000
2 Bedroom Apartment,Pritoria,La Montagne,2,1,2,107 m²,R 9 000
2 Bedroom Townhouse,Pritoria,The Wilds,2,2,2,107 m²,R 14 000
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,1,60 m²,R 14 000
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,2,107 m²,R 14 000
2 Bedroom Apartment,Pritoria,Pretoriuspark,3,1,2,111 m²,R 8 400
3 Bedroom House,Pritoria,Philip Nel Park,4,1,2,27 m²,R 14 500
4 Bedroom House,Pritoria,Waterkloof Golf Estate,2,5,2,85 m²,R 40 000
2 Bedroom Townhouse,Pritoria,Olympus AH,3,2,1,58 m²,R 14 000
3 Bedroom Apartment,Pritoria,Mooikloof,2,2,2,,R 17 500
2 Bedroom House,Pritoria,Brooklyn,1,1,1,,R 19 000
1 Bedroom Apartment,Pritoria,Pretoria Central,3,1,,,R 4 903
3 Bedroom House,Pritoria,Boardwalk,2,2,,,R 16 000
2 Bedroom Apartment,Pritoria,Olympus AH,1,1,,,R 10 175
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,,1,,,R 11 000
2 Bedroom Apartment,Pritoria,Mooikloof,2,2,2,65 m²,R 8 900
2 Bedroom House,Pritoria,Derdepoort,2,2,2,400 m²,R 11 000
3 Bedroom House,Pritoria,Lotus Gardens,3,2,2,55 m²,R 11 500
1 Bedroom Apartment,Pritoria,Florauna,1,1,1,70 m²,R 4 800
3 Bedroom House,Pritoria,Booysens,3,2.5,2,130 m²,R 8 250
2 Bedroom House,Pritoria,Mooiplaats AH,2,1,1,95 m²,R 7 000
2 Bedroom Apartment,Pritoria,Silver Lakes Golf Estate,2,1,2,65 m²,R 19 500
1 Bedroom Apartment,Pritoria,Les Marais,1,1,3,1 m²,R 4 750
2 Bedroom Apartment,Pritoria,Hatfield,2,2,1,64 m²,R 9 200
4 Bedroom Townhouse,Pritoria,Capital Park,4,2.5,4,125 m²,R 18 000
2 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,2,2,2,64 m²,R 11 000
3 Bedroom Townhouse,Pritoria,Annlin,3,2,2,,R 12 000
2 Bedroom Apartment,Pritoria,Menlo Park,2,2,1,,R 20 000
2 Bedroom Apartment,Pritoria,Mooikloof,2,2,3,,R 8 900
2 Bedroom Apartment,Pritoria,Waverley,2,1,1,,R 8 400
3 Bedroom House,Pritoria,Rietvalleirand,3,2,2,,R 13 000
1.5 Bedroom Apartment,Pritoria,Gezina,1.5,1,1,,R 5 500
2 Bedroom Apartment,Pritoria,Greencreek Lifestyle Estate,2,2,2,,R 9 500
3 Bedroom Apartment,Pritoria,Hazeldean,3,2,4,,R 9 800
2 Bedroom Apartment,Pritoria,Pretoria North,2,1,,,R 6 000
2 Bedroom House,Pritoria,Wapadrand,2,2,,,R 19 850
2 Bedroom Apartment,Pritoria,Monument Park,2,2,3,90 m²,R 13 500
2 Bedroom Apartment,Pritoria,Hatfield,2,1,1,48 m²,R 4 000
5 Bedroom House,Pritoria,Waterkloof Heights,5,6.5,5,81 m²,R 50 000
2 Bedroom House,Pritoria,Moreleta Park,2,1,2,79 m²,R 9 000
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,1,167 m²,R 12 000
3 Bedroom Townhouse,Pritoria,Montana,3,2.5,3,85 m²,R 12 250
2 Bedroom Apartment,Pritoria,Montana,2,2,2,455 m²,R 8 600
3 Bedroom Townhouse,Pritoria,Garsfontein,3,2,2,125 m²,R 12 000
3 Bedroom House,Pritoria,Garsfontein,3,2,5,56 m²,R 26 000
2 Bedroom Apartment,Pritoria,Hatfield,2,2,4,130 m²,R 9 800
4 Bedroom House,Pritoria,Moreleta Park,4,3.5,1,126 m²,R 26 000
2 Bedroom Townhouse,Pritoria,The Wilds,2,2,2,126 m²,R 13 000
2 Bedroom Apartment,Pritoria,Sinoville,2,2,1,116 m²,R 10 600
1 Bedroom Apartment,Pritoria,Menlyn,1,1,2,69 m²,R 18 000
4 Bedroom Townhouse,Pritoria,Equestria,4,3,2,202 m²,R 17 000
2 Bedroom Apartment,Pritoria,Olympus AH,2,2,2,,R 14 500
2 Bedroom Apartment,Pritoria,Olympus AH,2,2,2,,R 14 500
2 Bedroom Apartment,Pritoria,Nieuw Muckleneuk,2,2,2,,R 16 500
3 Bedroom Apartment,Pritoria,Shere,3,2,4,,R 10 500
1 Bedroom Townhouse,Pritoria,Pretoria West,1,1,,,R 5 650
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.5,,,R 22 000
3 Bedroom House,Pritoria,Andeon AH,3,2,2,59 m²,R 9 000
2 Bedroom Apartment,Pritoria,Nieuw Muckleneuk,2,2,1,84 m²,R 9 500
2 Bedroom Apartment,Pritoria,La Montagne,2,1,1,106 m²,R 8 000
4 Bedroom House,Pritoria,Muckleneuk,4,4,2,114 m²,R 36 500
2 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,2,2,2,56 m²,R 11 500
3 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,3,2,2,99 m²,R 16 500
2 Bedroom Townhouse,Pritoria,Faerie Glen,2,1,4,70 m²,R 13 500
Apartment,Pritoria,Sunnyside,0.5,1,1,58 m²,R 3 303
0.5 Bedroom Apartment,Pritoria,Gezina,3,1,5,90 m²,R 3 600
3 Bedroom House,Pritoria,Pretoria Gardens,2,2,1,74 m²,R 13 500
2 Bedroom Apartment,Pritoria,Montana Tuine,2,2,2,74 m²,R 8 550
2 Bedroom Townhouse,Pritoria,La Montagne,2,1,2,,R 7 950
2 Bedroom Townhouse,Pritoria,Olympus AH,3,2,4,,R 16 000
3 Bedroom Townhouse,Pritoria,Faerie Glen,2,2.5,1,,R 24 000
2 Bedroom Apartment,Pritoria,Montana,1,2,1,,R 8 900
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,2,1,3,,R 14 000
2 Bedroom Townhouse,Pritoria,Montana,5,2,3,,R 9 500
5 Bedroom House,Pritoria,Waterkloof Ridge,3,4,2,,R 55 000
3 Bedroom Townhouse,Pritoria,Montana Tuine,2,2,1,,R 12 000
2 Bedroom Apartment,Pritoria,Rietfontein,2,1.5,1,,R 8 000
2 Bedroom Apartment,Pritoria,Rietfontein,,1.5,,,R 8 000
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,4,3.5,4,123 m²,R 35 000
3 Bedroom Apartment,Pritoria,La Montagne,3,2,2,67 m²,R 10 000
3 Bedroom Townhouse,Pritoria,Annlin,3,2.5,2,87 m²,R 9 320
1 Bedroom Apartment,Pritoria,Newlands,1,1,1,1 m²,R 7 900
3 Bedroom House,Pritoria,Montana,3,2.5,4,40 m²,R 18 730
3 Bedroom Townhouse,Pritoria,Wapadrand,3,2,1,90 m²,R 12 000
5 Bedroom House,Pritoria,Waterkloof Glen,5,4.5,6,131 m²,R 60 000
0.5 Bedroom Apartment,Pritoria,Menlo Park,0.5,1,2,154 m²,R 10 250
3 Bedroom Townhouse,Pritoria,Annlin,3,2.5,1,65 m²,R 9 320
1 Bedroom House,Pritoria,Montana Tuine,1,1,4,42 m²,R 9 032
3 Bedroom House,Pritoria,Erasmuskloof,3,2,1,135 m²,R 25 000
2 Bedroom Townhouse,Pritoria,Waterkloof Ridge,2,2,3,,R 15 500
3 Bedroom Townhouse,Pritoria,Oukraal Estate,3,2.5,4,,R 11 000
3 Bedroom House,Pritoria,Lindo Park,3,1,1,,R 9 500
3 Bedroom Townhouse,Pritoria,Elarduspark,3,2,2,,R 19 500
2 Bedroom Apartment,Pritoria,Waterkloof Ridge,2,2,3,,R 12 000
3 Bedroom House,Pritoria,Mooikloof Gardens Estate,3,2,2,,R 26 000
1 Bedroom Apartment,Pritoria,Menlyn,1,1,1,,R 14 500
3 Bedroom House,Pritoria,Roodeplaat,3,2,2,,R 15 750
3 Bedroom Apartment,Pritoria,Villieria,3,2,,,R 8 000
3 Bedroom Apartment,Pritoria,Wapadrand,3,2,,,R 11 000
2 Bedroom Apartment,Pritoria,Waverley,2,1,1,66 m²,R 6 000
Apartment,Pritoria,Capital Park,1,1,1,70 m²,R 3 940
1 Bedroom Townhouse,Pritoria,Elarduspark,2,1.5,2,94 m²,R 7 500
2 Bedroom Townhouse,Pritoria,Moreleta Park,2,1,1,43 m²,R 11 500
2 Bedroom Apartment,Pritoria,Montana Tuine,3,2.5,2,50 m²,R 9 500
3 Bedroom House,Pritoria,Six Fountains Residential Estate,2,2,2,75 m²,R 40 000
2 Bedroom Apartment,Pritoria,Menlyn,1,1,1,7 m²,R 55 700
1 Bedroom Apartment,Pritoria,Olympus AH,1,1,2,15 m²,R 9 450
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,7 m²,R 10 500
1 Bedroom Apartment,Pritoria,Hatfield,3,2,2,30 m²,R 4 550
3 Bedroom House,Pritoria,Andeon,3,1,2,98 m²,R 9 000
3 Bedroom House,Pritoria,Meyerspark,2,1,1,,R 14 000
2 Bedroom Apartment,Pritoria,Philip Nel Park,3,2,2,,R 6 800
3 Bedroom Apartment,Pritoria,Annlin,0.5,1,2,,R 8 300
0.5 Bedroom Apartment,Pritoria,Capital Park,3,2,1,,R 3 000
3 Bedroom Apartment,Pritoria,Annlin,1,1,1,,R 8 300
1 Bedroom Apartment,Pritoria,Willow Acres,2,2,2,,R 7 500
2 Bedroom Apartment,Pritoria,Shere,2,2,2,,R 9 800
2 Bedroom Apartment,Pritoria,Montana,2,2,2,,R 8 900
2 Bedroom Townhouse,Pritoria,Olympus AH,4,2.5,,,R 16 500
4 Bedroom House,Pritoria,Lynnwood Ridge,,,,,R 35 000
2 Bedroom Townhouse,Pritoria,Country View Estate,2,1,2,57 m²,R 10 500
4 Bedroom House,Pritoria,Murrayfield,4,5,2,105 m²,R 40 000
2 Bedroom Apartment,Pritoria,Silverton,2,1,2,217 m²,R 5 800
4 Bedroom House,Pritoria,Lynnwood,4,3,2,52 m²,R 28 623
3 Bedroom Townhouse,Pritoria,Faerie Glen,3,2,4,92 m²,R 15 000
3 Bedroom Townhouse,Pritoria,Brooklyn,3,3,2,73 m²,R 23 000
4 Bedroom House,Pritoria,Mooikloof Gardens Estate,4,3,1,169 m²,R 35 000
2 Bedroom House,Pritoria,Montana,2,2,2,56 m²,R 10 600
1 Bedroom Apartment,Pritoria,Waterkloof Marina Retirement Estate,1,1,2,49 m²,R 10 500
2 Bedroom Apartment,Pritoria,Menlo Park,2,2,1,180 m²,R 20 000
2 Bedroom Apartment,Pritoria,The Hills Game Reserve Estate,2,2,4,,R 11 500
2 Bedroom Townhouse,Pritoria,Silver Lakes Golf Estate,2,2,1,,R 22 000
3 Bedroom House,Pritoria,Olympus AH,3,2,1,,R 21 500
2 Bedroom Apartment,Pritoria,La Montagne,2,1,2,,R 8 800
0.5 Bedroom House,Pritoria,Pretoria North,0.5,1,8,,R 4 150
4 Bedroom House,Pritoria,Murrayfield,4,5,2,,R 40 000
2 Bedroom Apartment,Pritoria,Hatfield,2,1,2,,R 8 400
4 Bedroom House,Pritoria,Waterkloof Ridge,4,4.5,2,,R 40 000
3 Bedroom House,Pritoria,Oukraal Estate,3,2.5,,,R 19 500
